,Date,Negative,Neutral,News Outlet,Positive,Text,Tweet Polarity,Tweets Ago
0,Wed Aug 01 22:40:55 +0000 2018,1.0,0.0,BBC,0.0,"RT @RussiaConnects: For accurate news from Syria follow:

@Osman_Marwa1
@walid970721
@GeromanAT 
@maytham956
@PetoLucem
@SyriaWar2
@watanis…",0.0,1
1,Wed Aug 01 22:40:54 +0000 2018,0.714,0.286,BBC,0.0,@BBC This brought a tear to the eye of a grumpy old twat #happiness,-0.6597,2
2,Wed Aug 01 22:40:33 +0000 2018,0.651,0.16,BBC,0.188,@BBC I'm pretty sure that I do and won't apologise for it. The BBC is either being run by some mentally unstable pe… https://t.co/YMQxEFcZgL,0.2062,3
3,Wed Aug 01 22:40:26 +0000 2018,0.718,0.116,BBC,0.166,"RT @MadeinGB2013: Dear Peter , how much is your EU pension worth? Oh Emily @maitlis how much do your earn @BBC ? The stupid British taxpaye…",0.1179,4
4,Wed Aug 01 22:40:19 +0000 2018,0.919,0.0,BBC,0.081,"RT @Zarkwan: So, YouTube channels pulled at insistence of @BBC from Indy supporting bloggers, but not from Unionist ones. Is there any othe…",0.2382,5
5,Wed Aug 01 22:40:09 +0000 2018,0.872,0.128,BBC,0.0,"RT @favm: @realDonaldTrump @cnn @bbc @msnbc @SenateGOP @FT @politico  guilty again in a tweet,”President Trump called on Atty. Gen. Jeff Se…",-0.4215,6
6,Wed Aug 01 22:40:08 +0000 2018,0.651,0.233,BBC,0.116,"@AMcNeillPeel @davidblackfin @BBC Looks like @AMcNeillPeel has scuttled off. As usual, blind accusations from the R… https://t.co/WIc74HyK5b",-0.3612,7
7,Wed Aug 01 22:40:03 +0000 2018,0.888,0.0,BBC,0.112,RT @CBoyle2000: @WingsScotland At last someone from @thesnp sticks their head above the parapet and takes on @bbc and who better than Mr Sa…,0.4404,8
8,Wed Aug 01 22:39:43 +0000 2018,0.718,0.116,BBC,0.166,"RT @MadeinGB2013: Dear Peter , how much is your EU pension worth? Oh Emily @maitlis how much do your earn @BBC ? The stupid British taxpaye…",0.1179,9
9,Wed Aug 01 22:39:42 +0000 2018,0.617,0.383,BBC,0.0,"RT @yorkspride: #Newsnight
 👇
'We no longer own the national conversation'

Damn right. We will no longer be silent as rape squads sweep Br…",-0.8957,10
10,Wed Aug 01 22:39:40 +0000 2018,0.462,0.538,BBC,0.0,@BBC shame shame shame.  Karma is gonna get you soon https://t.co/yi1cJ3jqXH,-0.8519,11
11,Wed Aug 01 22:39:38 +0000 2018,1.0,0.0,BBC,0.0,"RT @RussiaConnects: For accurate news from Syria follow:

@Osman_Marwa1
@walid970721
@GeromanAT 
@maytham956
@PetoLucem
@SyriaWar2
@watanis…",0.0,12
12,Wed Aug 01 22:39:32 +0000 2018,0.755,0.0,BBC,0.245,"@CPheagin Now free Julian !! 
@JulianAssange @realDonaldTrump @TheJusticeDept @FoxNews @V_of_Europe @euronews @BBC… https://t.co/VgxqalE72y",0.5972,13
